Type,ID,Time
TASK,382_M1,1.002159
TASK,380_M0,4.006306
TASK,382_M3,2.003714
TASK,383_M0,2.003953
TASK,383_M1,2.00408
TASK,384_M0,1.916921
TASK,382_M2,5.009548
TASK,386_M2,3.835388
TASK,386_M3,4.006691
TASK,387_M0,4.007007
TASK,387_M1,4.007366
TASK,378_R0,2.7779
JOB,378,16:34:39
TASK,382_R0,1.778509
TASK,385_R0,1.001433
TASK,388_M0,1.001858
TASK,384_R0,3.799363
JOB,384,16:34:43
TASK,385_R1,4.008458
JOB,385,16:34:44
TASK,389_M0,2.991986
TASK,388_M2,4.997617
TASK,389_M1,4.006711
TASK,390_M3,2.997674
TASK,391_M1,1.001313
TASK,391_M0,3.006281
TASK,392_M1,3.004663
TASK,394_M0,1.002248
TASK,393_M0,3.00548
TASK,392_M3,5.009505
TASK,396_M0,4.988545
TASK,396_M2,3.005994
TASK,396_M1,4.998981
TASK,397_M2,5.000504
TASK,396_R0,2.002064
TASK,392_R0,4.816834
JOB,392,16:34:56
TASK,398_M0,3.005386
TASK,394_R1,4.817038
JOB,394,16:34:57
TASK,400_M0,3.178417
TASK,401_M0,5.009149
TASK,402_M1,4.006209
TASK,398_R0,2.003559
TASK,400_R0,2.003572
TASK,403_M0,4.006804
TASK,402_R0,1.002319
JOB,402,16:35:05
TASK,413_M0,1.002574
TASK,401_R1,2.013346
JOB,401,16:35:06
TASK,401_R0,6.0075
TASK,403_R0,4.018264
TASK,404_R0,7.023744
JOB,404,16:35:12
TASK,405_R0,6.009368
JOB,405,16:35:14
TASK,407_R1,2.003484
JOB,407,16:35:14
TASK,410_R1,1.001965
JOB,410,16:35:14
TASK,411_R0,1.002113
TASK,416_M0,4.006046
TASK,420_M0,4.003911
TASK,420_M2,1.002112
TASK,416_R0,1.004684
TASK,420_M1,4.010106
TASK,420_M3,3.009019
TASK,418_R0,3.008875
JOB,418,16:35:21
TASK,428_M0,1.001242
TASK,425_M1,3.005024
TASK,420_R0,2.004239
JOB,420,16:35:24
TASK,425_M0,5.998193
TASK,428_M2,2.003746
TASK,421_R0,4.184418
TASK,430_M0,5.432147
TASK,430_M1,4.257592
TASK,425_R1,2.254823
JOB,425,16:35:31
TASK,431_M0,3.25551
TASK,425_R0,4.257328
TASK,432_M1,4.989111
TASK,432_M3,4.005319
TASK,433_M0,3.00869
TASK,433_M2,1.00516
TASK,435_M1,1.005916
TASK,434_M0,2.008678
TASK,437_M1,3.008217
TASK,439_M0,3.004536
TASK,439_M1,4.006952
TASK,439_M2,4.013271
TASK,440_M1,4.013639
TASK,430_R1,4.013848
JOB,430,16:35:46
TASK,436_R0,1.002069
JOB,436,16:35:47
TASK,440_R0,1.001857
TASK,439_R1,2.005686
JOB,439,16:35:49
TASK,434_R0,8.027781
TASK,442_M1,2.554915
TASK,439_R0,5.014877
TASK,444_M0,1.002655
TASK,444_M1,1.00308
TASK,442_M2,6.015636
TASK,443_M2,3.012925
TASK,446_M1,6.018914
TASK,442_R0,2.001867
TASK,442_R1,2.002172
JOB,442,16:35:59
TASK,448_M2,3.004036
TASK,448_M1,7.010547
TASK,451_M2,1.000566
TASK,446_R0,7.009844
TASK,451_M1,3.00511
TASK,452_M3,4.00747
TASK,448_R0,5.005271
JOB,448,16:36:06
TASK,454_M1,2.003302
TASK,451_R0,2.007101
JOB,451,16:36:08
TASK,452_R1,1.634855
JOB,452,16:36:08
TASK,453_R0,1.001702
TASK,458_M0,4.849748
TASK,452_R0,4.028828
TASK,461_M0,2.003577
TASK,460_M0,4.025383
TASK,461_M1,4.007834
TASK,463_M0,4.65455
TASK,456_R0,2.655216
TASK,465_M0,5.030767
TASK,457_R0,3.02459
JOB,457,16:36:15
TASK,465_M1,4.034767
TASK,460_R1,2.002835
JOB,460,16:36:19
TASK,466_M0,2.003262
TASK,466_M1,2.00341
TASK,466_M3,1.676626
TASK,460_R0,6.013967
TASK,468_M1,4.021319
TASK,469_M0,3.018352
TASK,469_M2,1.002274
TASK,469_M1,3.007044
TASK,466_R0,2.00692
JOB,466,16:36:26
TASK,473_M2,4.009988
TASK,468_R1,7.03317
JOB,468,16:36:31
TASK,469_R0,1.034252
JOB,469,16:36:32
TASK,473_R0,1.034685
TASK,470_R0,2.054684
TASK,476_M0,6.081173
TASK,478_M0,5.058895
TASK,480_M2,1.001579
TASK,478_M2,3.024334
TASK,482_M0,2.022625
TASK,479_M0,4.065765
TASK,476_R0,4.065904
JOB,476,16:36:39
TASK,482_M1,4.044232
TASK,483_M0,4.043839
TASK,479_R1,1.00103
JOB,479,16:36:41
TASK,483_M1,4.044719
TASK,490_M1,1.000978
TASK,479_R0,5.007149
TASK,490_M0,3.00512
TASK,489_M1,5.00727
TASK,481_R1,6.008687
JOB,481,16:36:48
TASK,491_M1,1.001214
TASK,483_R1,4.005081
JOB,483,16:36:50
TASK,494_M2,2.002933
TASK,486_R0,3.004415
TASK,493_M0,3.004547
TASK,497_M0,1.001511
TASK,495_M1,5.03091
TASK,497_M1,4.030026
TASK,492_R1,5.020631
JOB,492,16:36:56
TASK,493_R0,1.003154
TASK,498_M0,3.008183
TASK,495_R0,3.010498
JOB,495,16:36:58
TASK,498_R0,1.002132
JOB,498,16:36:59
TASK,499_R0,1.000327
